area,bedrooms,bathrooms,location,price
1775.0,3.0,2.0,Tripura,12649323.0
1781.0,2.0,1.0,Nagaland,10232353.0
1422.0,5.0,6.0,Rajasthan,13162721.0
1746.0,2.0,3.0,Punjab,9290209.0
1383.0,2.0,3.0,Dadra and Nagar Haveli and Daman and Diu,10117523.0
2085.0,4.0,3.0,Jammu and Kashmir,20792959.0
1999.0,4.0,3.0,Kerala,22631209.0
974.0,2.0,1.0,Ladakh,7129914.0
1187.0,3.0,4.0,Andhra Pradesh,7989016.0
1167.0,3.0,4.0,Madhya Pradesh,9567573.0
2149.0,4.0,4.0,Chandigarh,21757652.0
1779.0,2.0,1.0,Puducherry,11782864.0
744.0,3.0,4.0,Nagaland,7006221.0
961.0,3.0,2.0,Uttar Pradesh,7948819.0
1317.0,3.0,4.0,Puducherry,8136637.0
2135.0,4.0,5.0,Jammu and Kashmir,20454274.0
1131.0,3.0,4.0,Uttarakhand,11026489.0
613.0,2.0,3.0,Jharkhand,4108931.0
704.0,4.0,4.0,Haryana,6900467.0
2035.0,4.0,4.0,Tripura,17160499.0
1266.0,4.0,3.0,Jammu and Kashmir,12138991.0
1545.0,2.0,3.0,Arunachal Pradesh,12843432.0
1831.0,2.0,3.0,Kerala,17540563.0
1117.0,3.0,2.0,Rajasthan,8940385.0
1238.0,1.0,2.0,Chhattisgarh,6277573.0
2327.0,5.0,4.0,Kerala,25580831.0
1221.0,2.0,2.0,Bihar,8623796.0
1386.0,3.0,2.0,Nagaland,10995048.0
2474.0,4.0,4.0,Ladakh,21722511.0
1320.0,2.0,2.0,Haryana,12576232.0
2074.0,2.0,2.0,Delhi,20761831.0
1750.0,3.0,4.0,Maharashtra,23830258.0
1247.0,3.0,4.0,Nagaland,10346668.0
1913.0,2.0,2.0,Uttar Pradesh,11785481.0
1675.0,3.0,4.0,Karnataka,22619221.0
2289.0,5.0,5.0,Chandigarh,25564388.0
1381.0,3.0,2.0,Sikkim,11003507.0
1487.0,2.0,1.0,Meghalaya,11236476.0
1386.0,2.0,1.0,Odisha,8724324.0
1775.0,2.0,3.0,Assam,10555797.0
994.0,2.0,2.0,Haryana,9086313.0
1939.0,2.0,2.0,Punjab,10187519.0
1426.0,3.0,3.0,Sikkim,11222015.0
1093.0,2.0,3.0,Karnataka,15867349.0
2500.0,5.0,5.0,Rajasthan,21722137.0
2535.0,2.0,1.0,Tamil Nadu,35829045.0
1745.0,2.0,1.0,Jammu and Kashmir,13248262.0
2349.0,4.0,4.0,Tripura,18851198.0
1697.0,4.0,4.0,Gujarat,21528088.0
889.0,2.0,3.0,Delhi,7536527.0
560.0,2.0,2.0,Nagaland,3729517.0
1666.0,2.0,3.0,Meghalaya,11195957.0
1257.0,3.0,3.0,Chandigarh,15759480.0
1147.0,3.0,3.0,Sikkim,11466815.0
1402.0,2.0,2.0,Dadra and Nagar Haveli and Daman and Diu,7873240.0
1634.0,1.0,1.0,Rajasthan,10739635.0
646.0,3.0,4.0,Andaman and Nicobar Islands,4717517.0
1403.0,5.0,4.0,Rajasthan,10731231.0
1969.0,3.0,3.0,Rajasthan,14673361.0
960.0,3.0,2.0,Rajasthan,6575220.0
1754.0,2.0,3.0,Mizoram,14046037.0
1048.0,2.0,3.0,Kerala,10777466.0
1618.0,2.0,2.0,Odisha,10776550.0
1830.0,4.0,5.0,Goa,31146733.0
1909.0,4.0,4.0,Rajasthan,17404402.0
2517.0,4.0,3.0,Maharashtra,39652993.0
1603.0,5.0,5.0,Kerala,24238540.0
2557.0,5.0,6.0,Lakshadweep,24968290.0
1315.0,5.0,4.0,Maharashtra,21248654.0
1305.0,1.0,1.0,Andhra Pradesh,8574591.0
1440.0,2.0,1.0,Chandigarh,12989554.0
1673.0,2.0,3.0,Delhi,20962339.0
1948.0,3.0,3.0,Bihar,17111173.0
1189.0,2.0,3.0,Karnataka,17726793.0
1364.0,4.0,5.0,Nagaland,11337346.0
1900.0,3.0,3.0,Mizoram,13079177.0
1728.0,3.0,4.0,Kerala,22386068.0
1939.0,2.0,1.0,Tamil Nadu,24482780.0
1416.0,2.0,1.0,Maharashtra,16930063.0
1072.0,2.0,2.0,Arunachal Pradesh,6698863.0
1832.0,4.0,4.0,Punjab,15353657.0
1431.0,3.0,2.0,Maharashtra,18497448.0
2012.0,3.0,2.0,Meghalaya,12998247.0
993.0,2.0,1.0,Maharashtra,11616499.0
2123.0,2.0,3.0,Madhya Pradesh,14808587.0
1002.0,2.0,3.0,Assam,6468390.0
1615.0,4.0,5.0,Maharashtra,27496879.0
1485.0,4.0,4.0,Rajasthan,13820240.0
1040.0,2.0,2.0,Gujarat,11029911.0
2349.0,5.0,6.0,Manipur,20667293.0
2246.0,2.0,2.0,Andhra Pradesh,15923109.0
1390.0,4.0,3.0,Himachal Pradesh,13468838.0
1648.0,2.0,2.0,Karnataka,16843427.0
350.0,2.0,3.0,West Bengal,2557001.0
1723.0,4.0,4.0,Dadra and Nagar Haveli and Daman and Diu,14130906.0
1578.0,2.0,3.0,Goa,25822546.0
1103.0,2.0,3.0,Jharkhand,8760178.0
1913.0,3.0,2.0,West Bengal,14575286.0
1335.0,2.0,3.0,Tamil Nadu,17158966.0
1317.0,3.0,3.0,Andhra Pradesh,9776128.0
1363.0,4.0,4.0,Delhi,17838688.0
708.0,4.0,3.0,Sikkim,5378454.0
897.0,2.0,2.0,Arunachal Pradesh,5220005.0
2241.0,3.0,2.0,Tamil Nadu,28877056.0
580.0,2.0,1.0,Gujarat,3953105.0
1178.0,2.0,3.0,Uttar Pradesh,7443130.0
1148.0,2.0,1.0,Gujarat,10158666.0
2622.0,5.0,5.0,Karnataka,41684841.0
2231.0,4.0,3.0,Mizoram,16019978.0
1418.0,4.0,3.0,Bihar,10607126.0
2177.0,3.0,3.0,Maharashtra,35311584.0
1386.0,3.0,4.0,Lakshadweep,11280805.0
2031.0,3.0,4.0,Rajasthan,14284104.0
1069.0,3.0,3.0,West Bengal,7718491.0
2410.0,3.0,3.0,Mizoram,17485190.0
1257.0,2.0,3.0,Jharkhand,7714252.0
1139.0,2.0,1.0,Jharkhand,6451382.0
2070.0,5.0,6.0,Karnataka,38993038.0
1501.0,3.0,2.0,Sikkim,12315356.0
1447.0,5.0,4.0,Haryana,15761738.0
1609.0,2.0,2.0,Chhattisgarh,10404358.0
1224.0,3.0,2.0,Himachal Pradesh,10725119.0
1728.0,2.0,3.0,Andaman and Nicobar Islands,8916035.0
1733.0,2.0,3.0,Assam,11657798.0
1328.0,1.0,1.0,Assam,8387358.0
1298.0,2.0,3.0,Punjab,9249596.0
1781.0,4.0,5.0,Puducherry,18782831.0
1458.0,2.0,3.0,Odisha,11335804.0
2581.0,3.0,4.0,Kerala,33387998.0
2067.0,3.0,3.0,Odisha,20103963.0
1921.0,2.0,1.0,Chandigarh,19113424.0
3409.0,3.0,4.0,Tripura,26206844.0
1841.0,2.0,2.0,Lakshadweep,13364772.0
2454.0,5.0,6.0,Uttar Pradesh,20832776.0
1906.0,4.0,5.0,Chandigarh,23476461.0
1094.0,3.0,2.0,Ladakh,8717469.0
1423.0,3.0,3.0,Odisha,10854188.0
1139.0,2.0,1.0,Ladakh,8063209.0
2232.0,4.0,3.0,Kerala,23347349.0
1424.0,2.0,3.0,Chandigarh,14767185.0
1277.0,1.0,2.0,Jammu and Kashmir,9243403.0
2093.0,2.0,3.0,Delhi,20078870.0
2233.0,4.0,5.0,Gujarat,22410503.0
1256.0,3.0,3.0,Nagaland,7884851.0
1506.0,4.0,4.0,Meghalaya,10852220.0
2398.0,4.0,5.0,Manipur,20943557.0
1925.0,2.0,2.0,Jammu and Kashmir,15804599.0
1016.0,4.0,4.0,Uttarakhand,11367118.0
1648.0,3.0,2.0,Assam,12614056.0
1748.0,3.0,4.0,Himachal Pradesh,18307977.0
1552.0,1.0,2.0,Bihar,9958540.0
1985.0,5.0,6.0,Himachal Pradesh,22791391.0
1722.0,2.0,2.0,Uttarakhand,15593360.0
1615.0,1.0,1.0,Jammu and Kashmir,12624003.0
1727.0,3.0,2.0,Tripura,12670693.0
1336.0,2.0,2.0,Ladakh,12318226.0
1469.0,2.0,3.0,Odisha,7135075.0
1772.0,3.0,4.0,Kerala,18846800.0
1335.0,2.0,3.0,Goa,16049434.0
1387.0,4.0,4.0,Punjab,12725551.0
1345.0,2.0,3.0,Uttarakhand,13300545.0
1596.0,3.0,4.0,Goa,18350202.0
1393.0,3.0,2.0,Rajasthan,11434813.0
1575.0,3.0,4.0,Goa,18842068.0
1559.0,3.0,2.0,Odisha,9445420.0
1280.0,3.0,3.0,Rajasthan,9056420.0
981.0,5.0,6.0,Kerala,12549092.0
1348.0,2.0,2.0,Puducherry,7123418.0
1741.0,2.0,3.0,Goa,23422121.0
2352.0,3.0,2.0,Arunachal Pradesh,17857157.0
1990.0,4.0,4.0,Assam,18068143.0
610.0,1.0,2.0,Kerala,5054089.0
1876.0,3.0,3.0,Tripura,13592409.0
2268.0,4.0,5.0,Bihar,18800862.0
1784.0,3.0,3.0,Kerala,22826695.0
2235.0,5.0,6.0,Odisha,13421185.0
1379.0,3.0,3.0,Dadra and Nagar Haveli and Daman and Diu,8886295.0
1873.0,3.0,4.0,Odisha,14131810.0
1550.0,2.0,1.0,Haryana,12294525.0
2348.0,5.0,4.0,Sikkim,24026277.0
879.0,2.0,1.0,Maharashtra,9972882.0
1687.0,3.0,4.0,Madhya Pradesh,11716090.0
491.0,2.0,1.0,Chhattisgarh,3087543.0
1375.0,3.0,2.0,Kerala,15170894.0
1022.0,3.0,4.0,Tamil Nadu,13822898.0
1291.0,3.0,3.0,Andaman and Nicobar Islands,8887359.0
1678.0,4.0,3.0,Punjab,12828048.0
1355.0,2.0,1.0,Ladakh,10397114.0
736.0,3.0,2.0,Odisha,4087711.0
1588.0,2.0,3.0,Mizoram,11329447.0
984.0,2.0,2.0,Karnataka,11168949.0
1742.0,3.0,4.0,Haryana,22102938.0
898.0,2.0,1.0,Meghalaya,6000958.0
1424.0,2.0,2.0,Chandigarh,15427439.0
1313.0,3.0,2.0,Manipur,8099018.0
1717.0,3.0,3.0,Assam,11942691.0
1757.0,3.0,3.0,Mizoram,10883892.0
1154.0,1.0,2.0,Meghalaya,6316944.0
599.0,2.0,2.0,Assam,4478509.0
914.0,2.0,3.0,Punjab,7281520.0
900.0,4.0,4.0,Jharkhand,6254573.0
1709.0,4.0,3.0,Rajasthan,12597128.0
1112.0,2.0,3.0,Andhra Pradesh,7448387.0
1948.0,3.0,3.0,Chhattisgarh,15178008.0
1402.0,2.0,1.0,Ladakh,8493539.0
1161.0,2.0,3.0,Chhattisgarh,6338649.0
1249.0,2.0,3.0,Haryana,13065165.0
1632.0,2.0,1.0,Mizoram,7801874.0
1821.0,3.0,4.0,Chandigarh,18991491.0
2255.0,4.0,5.0,Nagaland,19126532.0
1387.0,2.0,3.0,Assam,9843800.0
1348.0,3.0,2.0,Chhattisgarh,9302031.0
1907.0,3.0,3.0,Manipur,13273626.0
2106.0,5.0,5.0,Rajasthan,20503849.0
1464.0,3.0,3.0,Chhattisgarh,11022684.0
703.0,2.0,2.0,Gujarat,6159968.0
1559.0,3.0,3.0,Uttar Pradesh,11400896.0
790.0,2.0,2.0,West Bengal,5371109.0
1203.0,5.0,6.0,Maharashtra,24377551.0
1034.0,2.0,2.0,Kerala,10749887.0
1047.0,3.0,2.0,Himachal Pradesh,10364517.0
1568.0,1.0,1.0,Meghalaya,8311778.0
1860.0,2.0,3.0,Manipur,11782696.0
1331.0,4.0,5.0,Gujarat,15727806.0
1663.0,3.0,3.0,Andaman and Nicobar Islands,11898058.0
813.0,3.0,2.0,Chandigarh,7332382.0
1510.0,5.0,6.0,Uttarakhand,19481136.0
1938.0,4.0,3.0,Karnataka,30865424.0
1795.0,2.0,2.0,Ladakh,13833256.0
1194.0,3.0,2.0,Kerala,13193789.0
2190.0,3.0,2.0,Rajasthan,15785017.0
1000.0,3.0,4.0,Arunachal Pradesh,8191300.0
708.0,2.0,2.0,Arunachal Pradesh,3859620.0
1581.0,2.0,1.0,Goa,17894767.0
2674.0,4.0,4.0,Ladakh,26341336.0
1846.0,4.0,3.0,Nagaland,15476364.0
1874.0,4.0,4.0,Ladakh,17188155.0
1246.0,5.0,5.0,Karnataka,14234473.0
501.0,3.0,3.0,Uttar Pradesh,3173849.0
1539.0,4.0,5.0,Chandigarh,18577144.0
2061.0,4.0,3.0,Maharashtra,29905918.0
1206.0,3.0,2.0,Madhya Pradesh,10176698.0
1594.0,3.0,3.0,Ladakh,15280991.0
1400.0,2.0,3.0,Sikkim,11761960.0
1973.0,3.0,3.0,Goa,26414049.0
1379.0,2.0,1.0,Uttarakhand,11994012.0
2119.0,2.0,3.0,Haryana,19453194.0
1504.0,3.0,3.0,Madhya Pradesh,10764802.0
1539.0,2.0,1.0,Lakshadweep,8348095.0
1891.0,2.0,2.0,Tamil Nadu,26555738.0
1129.0,4.0,3.0,Karnataka,17023331.0
2984.0,4.0,5.0,Gujarat,33204705.0
1314.0,2.0,1.0,Andaman and Nicobar Islands,8086745.0
1444.0,1.0,1.0,Jammu and Kashmir,10787478.0
1676.0,2.0,2.0,Sikkim,13004603.0
2863.0,4.0,3.0,Andaman and Nicobar Islands,20899143.0
1724.0,4.0,4.0,Tripura,12804470.0
877.0,2.0,1.0,Madhya Pradesh,5695075.0
2649.0,4.0,4.0,Chandigarh,29864440.0
1457.0,2.0,3.0,Gujarat,13611330.0
1502.0,2.0,3.0,Madhya Pradesh,8525632.0
1729.0,5.0,4.0,Haryana,21883665.0
1520.0,2.0,1.0,Assam,9278536.0
1252.0,2.0,2.0,Mizoram,7823891.0
1546.0,3.0,4.0,Nagaland,11934885.0
1215.0,3.0,4.0,Bihar,9983403.0
2529.0,5.0,4.0,Gujarat,34383565.0
2894.0,5.0,4.0,Delhi,48881473.0
1251.0,1.0,1.0,Mizoram,6949060.0
1534.0,2.0,1.0,Puducherry,8920872.0
1218.0,4.0,4.0,Puducherry,8587296.0
1702.0,2.0,3.0,Uttar Pradesh,10686571.0
2001.0,4.0,3.0,Punjab,15644603.0
1613.0,3.0,4.0,Haryana,16098087.0
1774.0,2.0,2.0,Assam,11663916.0
1577.0,4.0,4.0,Meghalaya,11238034.0
1565.0,2.0,3.0,Tripura,8470724.0
1004.0,3.0,2.0,West Bengal,7741109.0
1984.0,3.0,4.0,Delhi,26045035.0
2711.0,3.0,2.0,Delhi,31605503.0
1833.0,3.0,3.0,Andhra Pradesh,11592653.0
2303.0,3.0,4.0,Chandigarh,26667411.0
1614.0,5.0,5.0,Madhya Pradesh,16621782.0
2025.0,5.0,4.0,Madhya Pradesh,16534115.0
1145.0,3.0,3.0,Jammu and Kashmir,9993819.0
1366.0,2.0,2.0,Haryana,14645788.0
1994.0,3.0,2.0,Sikkim,13485282.0
1731.0,5.0,6.0,Kerala,28456121.0
921.0,2.0,1.0,Sikkim,9147817.0
872.0,3.0,3.0,Uttarakhand,5275727.0
979.0,3.0,3.0,Haryana,10294682.0
1483.0,1.0,1.0,Dadra and Nagar Haveli and Daman and Diu,7750921.0
2633.0,3.0,4.0,Uttarakhand,23657900.0
1819.0,2.0,2.0,Meghalaya,11229887.0
1181.0,4.0,3.0,Gujarat,14774884.0
2297.0,4.0,4.0,Meghalaya,18263728.0
2534.0,4.0,4.0,Lakshadweep,18191511.0
707.0,2.0,2.0,Tripura,4500547.0
1318.0,2.0,3.0,Goa,17464740.0
2477.0,3.0,3.0,West Bengal,15471097.0
2001.0,4.0,5.0,Uttar Pradesh,13359477.0
1274.0,3.0,3.0,Chhattisgarh,11492576.0
2104.0,4.0,4.0,Chandigarh,22874405.0
548.0,2.0,1.0,Madhya Pradesh,3363158.0
1737.0,4.0,4.0,Andhra Pradesh,13331913.0
2074.0,2.0,1.0,Gujarat,20158922.0
1386.0,2.0,3.0,Karnataka,20977013.0
1238.0,3.0,4.0,Uttarakhand,12288158.0
1642.0,1.0,2.0,West Bengal,8030072.0
1725.0,1.0,2.0,Chandigarh,12572372.0
1856.0,1.0,1.0,Tripura,10108055.0
2161.0,3.0,2.0,Assam,14681921.0
2620.0,4.0,5.0,Puducherry,17294106.0
1551.0,1.0,1.0,Tamil Nadu,17988915.0
1627.0,3.0,2.0,Tripura,9932646.0
1516.0,4.0,3.0,Delhi,25742324.0
1597.0,2.0,3.0,Tripura,13154325.0
951.0,2.0,2.0,Bihar,5997350.0
1505.0,4.0,3.0,Lakshadweep,12357372.0
1371.0,4.0,5.0,Kerala,14206772.0
1748.0,3.0,2.0,Haryana,19276717.0
2591.0,4.0,4.0,Andaman and Nicobar Islands,19634982.0
1411.0,2.0,1.0,Punjab,7655914.0
2041.0,2.0,2.0,Himachal Pradesh,15761089.0
2542.0,3.0,3.0,Mizoram,17471477.0
1242.0,2.0,3.0,Jharkhand,8068319.0
1842.0,4.0,4.0,Jammu and Kashmir,20355019.0
1372.0,3.0,2.0,Telangana,16105482.0
2800.0,4.0,3.0,Assam,26387148.0
2114.0,3.0,2.0,Puducherry,12480569.0
908.0,2.0,2.0,Puducherry,7046112.0
1537.0,2.0,1.0,Jammu and Kashmir,10364274.0
2104.0,2.0,2.0,Goa,25244930.0
1952.0,4.0,5.0,Andaman and Nicobar Islands,15285308.0
1616.0,2.0,3.0,Uttar Pradesh,10473566.0
1674.0,2.0,2.0,Uttarakhand,14679813.0
1067.0,2.0,3.0,Delhi,15712792.0
1667.0,2.0,3.0,Andhra Pradesh,12878831.0
1136.0,4.0,4.0,Bihar,8711328.0
1180.0,2.0,3.0,Arunachal Pradesh,8153172.0
2723.0,5.0,4.0,Sikkim,26056253.0
1818.0,2.0,3.0,Tripura,10827380.0
1608.0,3.0,2.0,Chandigarh,14228668.0
1986.0,3.0,4.0,Puducherry,14188150.0
1409.0,2.0,3.0,Chhattisgarh,9810134.0
1656.0,4.0,4.0,Jammu and Kashmir,12658754.0
2492.0,5.0,4.0,Manipur,21262427.0
1534.0,4.0,4.0,Odisha,14613343.0
1307.0,2.0,2.0,Telangana,17795526.0
1280.0,2.0,3.0,Andhra Pradesh,8045182.0
912.0,3.0,4.0,Dadra and Nagar Haveli and Daman and Diu,5723812.0
985.0,2.0,2.0,Gujarat,9873843.0
2612.0,3.0,4.0,Haryana,20779591.0
1899.0,3.0,3.0,West Bengal,15666428.0
1292.0,3.0,3.0,Punjab,9164686.0
1190.0,4.0,5.0,Haryana,17650358.0
1604.0,3.0,4.0,Uttarakhand,11800389.0
1926.0,1.0,1.0,Ladakh,15052942.0
1197.0,1.0,1.0,Lakshadweep,6764260.0
2230.0,3.0,4.0,Karnataka,29808439.0
1552.0,3.0,4.0,Chandigarh,14291621.0
1607.0,2.0,2.0,Uttar Pradesh,11192246.0
820.0,2.0,1.0,Andaman and Nicobar Islands,5531959.0
2341.0,4.0,3.0,Chhattisgarh,22171329.0
1780.0,4.0,3.0,Delhi,28732601.0
1924.0,3.0,3.0,Gujarat,19012419.0
1150.0,2.0,2.0,Bihar,6574535.0
1518.0,2.0,3.0,Andaman and Nicobar Islands,8576517.0
1282.0,3.0,2.0,Nagaland,10590659.0
1333.0,2.0,3.0,Uttarakhand,10054913.0
2016.0,3.0,3.0,Bihar,17283428.0
1217.0,3.0,2.0,Gujarat,13273172.0
995.0,1.0,1.0,Lakshadweep,5916713.0
2098.0,1.0,1.0,Uttar Pradesh,11558649.0
1841.0,2.0,3.0,Nagaland,13431822.0
1478.0,4.0,5.0,Punjab,12274131.0
1661.0,3.0,4.0,Maharashtra,22096725.0
1321.0,2.0,2.0,Karnataka,17175968.0
1267.0,4.0,4.0,Dadra and Nagar Haveli and Daman and Diu,10035590.0
2114.0,3.0,2.0,Telangana,24772760.0
1117.0,3.0,4.0,Rajasthan,9028402.0
2616.0,5.0,4.0,Andaman and Nicobar Islands,22272939.0
1114.0,1.0,1.0,Odisha,6745925.0
1287.0,2.0,1.0,Assam,7593493.0
1913.0,3.0,3.0,Puducherry,11905960.0
1647.0,2.0,1.0,Sikkim,15282586.0
887.0,3.0,2.0,Bihar,7382382.0
1777.0,2.0,2.0,Karnataka,23585500.0
1333.0,2.0,3.0,Bihar,8591729.0
1089.0,2.0,2.0,Maharashtra,12597053.0
1595.0,3.0,4.0,Uttar Pradesh,14021214.0
1973.0,2.0,3.0,Arunachal Pradesh,12771176.0
2131.0,2.0,3.0,Jharkhand,13312081.0
1689.0,4.0,4.0,West Bengal,16671824.0
792.0,2.0,3.0,Gujarat,7780191.0
1803.0,2.0,3.0,Bihar,14774768.0
1797.0,1.0,2.0,Ladakh,11006518.0
1874.0,2.0,2.0,Lakshadweep,12938441.0
1802.0,2.0,1.0,Mizoram,14039070.0
1726.0,3.0,3.0,Haryana,18430203.0
1313.0,2.0,3.0,Uttarakhand,10578077.0
2041.0,4.0,5.0,Lakshadweep,14601552.0
921.0,4.0,4.0,Gujarat,12258510.0
1867.0,2.0,1.0,Uttarakhand,13013457.0
1711.0,2.0,2.0,Uttar Pradesh,10994970.0
1502.0,2.0,3.0,Ladakh,10645384.0
918.0,3.0,3.0,Andaman and Nicobar Islands,7931615.0
1670.0,2.0,2.0,Manipur,12359354.0
2725.0,4.0,4.0,Madhya Pradesh,21880255.0
1841.0,4.0,3.0,Chandigarh,18080690.0
2511.0,4.0,3.0,Meghalaya,23195636.0
1585.0,3.0,4.0,Tamil Nadu,21094365.0
2983.0,5.0,4.0,Assam,22199728.0
856.0,1.0,2.0,Puducherry,4036472.0
1551.0,2.0,1.0,Chandigarh,13048649.0
1113.0,2.0,2.0,Puducherry,5971670.0
1440.0,5.0,5.0,Karnataka,21744385.0
1637.0,3.0,4.0,Andaman and Nicobar Islands,13445567.0
2549.0,4.0,5.0,Uttarakhand,24925927.0
2310.0,2.0,2.0,Chandigarh,22881683.0
2373.0,5.0,5.0,Manipur,19156485.0
1725.0,3.0,4.0,Chhattisgarh,13108215.0
2930.0,3.0,3.0,Uttar Pradesh,26247230.0
1829.0,5.0,4.0,Puducherry,15036572.0
1062.0,2.0,2.0,Rajasthan,7221446.0
589.0,2.0,1.0,Karnataka,5510575.0
2229.0,3.0,3.0,Kerala,28042763.0
1926.0,2.0,2.0,Meghalaya,11802102.0
2491.0,2.0,1.0,Rajasthan,17503359.0
722.0,2.0,1.0,Tamil Nadu,8194495.0
1974.0,2.0,3.0,Andaman and Nicobar Islands,14323567.0
1455.0,4.0,4.0,Mizoram,12671600.0
1960.0,3.0,2.0,Assam,13012174.0
542.0,2.0,3.0,Gujarat,6056614.0
2001.0,2.0,3.0,Sikkim,15132021.0
1923.0,3.0,4.0,Goa,29267024.0
1382.0,3.0,4.0,Rajasthan,9932354.0
2201.0,4.0,5.0,Kerala,27886835.0
1878.0,5.0,5.0,Delhi,28949807.0
1133.0,2.0,1.0,Himachal Pradesh,8753624.0
1199.0,2.0,3.0,Madhya Pradesh,7059962.0
903.0,3.0,2.0,Punjab,6527373.0
1899.0,3.0,2.0,Manipur,13401668.0
2035.0,3.0,4.0,Uttar Pradesh,14349333.0
1540.0,3.0,4.0,Telangana,21295245.0
1956.0,3.0,3.0,Punjab,14468662.0
1413.0,2.0,3.0,Manipur,8845396.0
1719.0,2.0,3.0,Gujarat,16721304.0
940.0,2.0,3.0,Jharkhand,5587638.0
1225.0,2.0,1.0,Bihar,9795694.0
1980.0,2.0,2.0,Jammu and Kashmir,17853173.0
1793.0,3.0,2.0,Uttar Pradesh,12999348.0
2416.0,2.0,3.0,Karnataka,34392621.0
1487.0,2.0,1.0,Bihar,7075050.0
1174.0,3.0,4.0,Mizoram,6135103.0
2460.0,4.0,3.0,Uttarakhand,22484441.0
1706.0,2.0,2.0,Telangana,17085364.0
2355.0,4.0,3.0,Goa,32949148.0
1975.0,4.0,5.0,Kerala,24608686.0
1249.0,3.0,3.0,Madhya Pradesh,10097009.0
1951.0,3.0,4.0,Delhi,23448374.0
1165.0,1.0,1.0,Goa,12892370.0
1348.0,5.0,5.0,Delhi,22037348.0
1235.0,2.0,3.0,West Bengal,8696746.0
2502.0,4.0,5.0,Puducherry,19518251.0
1614.0,3.0,2.0,Tamil Nadu,24389238.0
663.0,1.0,1.0,Sikkim,4609545.0
631.0,1.0,1.0,Uttarakhand,5388001.0
2263.0,3.0,3.0,Assam,14912076.0
1741.0,3.0,3.0,Telangana,25484814.0
1038.0,1.0,1.0,Arunachal Pradesh,5894847.0
1707.0,3.0,4.0,Ladakh,15217949.0
1189.0,4.0,3.0,Manipur,9977906.0
2864.0,3.0,2.0,Himachal Pradesh,23856596.0
1653.0,3.0,4.0,Chandigarh,12397198.0
1915.0,1.0,2.0,Chhattisgarh,7242694.0
1633.0,4.0,4.0,Sikkim,18672851.0
2092.0,2.0,3.0,Haryana,23720340.0
2278.0,4.0,4.0,Haryana,32912419.0
2049.0,2.0,2.0,Uttar Pradesh,13290486.0
2230.0,3.0,2.0,Chandigarh,19330773.0
1835.0,2.0,1.0,Tripura,10873872.0
1466.0,2.0,2.0,Uttar Pradesh,9542064.0
1832.0,4.0,4.0,Manipur,12981538.0
2278.0,3.0,4.0,Chandigarh,30069771.0
964.0,3.0,3.0,Chandigarh,13013419.0
2074.0,5.0,6.0,Gujarat,29167359.0
2164.0,5.0,5.0,Maharashtra,35270440.0
2218.0,4.0,3.0,Chandigarh,21355980.0
1326.0,2.0,3.0,Kerala,15532037.0
